database_id,decimalLongitude,decimalLatitude,decimalLongitude_modified,decimalLatitude_modified
ICMBIO_4928,63.4333333,-17.9,-63.4333333,-17.9
ICMBIO_4560,-14.4333333,-67.9166667,-67.9166667,-14.4333333
ICMBIO_1291,-41.9,13.25,-41.9,-13.25
ICMBIO_2265,-46.6977777,13.8244445,-46.6977777,-13.8244445
ICMBIO_2347,-41.9,13.25,-41.9,-13.25
ICMBIO_2413,-60.1722223,8.1588889000000009,-60.1722223,-8.1588889000000009
ICMBIO_2532,-41.8333333,13.2166667,-41.8333333,-13.2166667
ICMBIO_3099,-37.7097222,12.1130556,-37.7097222,-12.1130556
ICMBIO_3250,-41.9,13.25,-41.9,-13.25
ICMBIO_3932,-60.1722223,8.1588889000000009,-60.1722223,-8.1588889000000009
ICMBIO_4087,-41.9,13.2333333,-41.9,-13.2333333
ICMBIO_4163,-44.1666667,12.8,-44.1666667,-12.8
ICMBIO_4287,-60.1722223,8.1588889000000009,-60.1722223,-8.1588889000000009
ICMBIO_4973,-46.5825,13.7247223,-46.5825,-13.7247223
ICMBIO_5149,-37.2130556,8.5494444,-37.2130556,-8.5494444
ICMBIO_5456,-58.6666667,4.3666667,-58.6666667,-4.3666667
ICMBIO_5890,-45,23,-45,-23
ICMBIO_5951,-47.4163889,6.3294445,-47.4163889,-6.3294445
ICMBIO_6016,-41.9,13.2666667,-41.9,-13.2666667
ICMBIO_6046,-55.1916666,5.425,-55.1916666,-5.425
ICMBIO_7097,-41.6666667,13.2333333,-41.6666667,-13.2333333
ICMBIO_7305,-49.5833333,27.0833333,-49.5833333,-27.0833333
ICMBIO_7395,-41.9166667,13.25,-41.9166667,-13.25
ICMBIO_7674,-41.8833333,13.2833333,-41.8833333,-13.2833333
ICMBIO_7735,-47.1388889,19.6130556,-47.1388889,-19.6130556
ICMBIO_8724,-60.1722223,8.1588889000000009,-60.1722223,-8.1588889000000009
ICMBIO_9379,-40.1094444,13.9447222,-40.1094444,-13.9447222
ICMBIO_9740,-41.9,13.2666667,-41.9,-13.2666667
ICMBIO_9834,-41.9,13.25,-41.9,-13.25
IDIGBIO_1244,-41.9,13.233333,-41.9,-13.233333
IDIGBIO_7788,-55.1666667,5.6083333,-55.1666667,-5.6083333
SIBBR_1819,-48.693333,24.539444,-48.693333,-24.539444
SIBBR_2671,-53.3666666666667,2.88333333333333,-53.3666666666667,-2.88333333333333
SIBBR_4076,-56.3908333,4.6177778,-56.3908333,-4.6177778
SIBBR_8262,-48.693333,24.539444,-48.693333,-24.539444
SPECIESLINK_25,-53,3.166667,-53,-3.166667
SPECIESLINK_2897,-66.383333,4,-66.383333,-4
SPECIESLINK_7851,-48.693333,24.539444,-48.693333,-24.539444
SPECIESLINK_9276,-48.693333,24.539444,-48.693333,-24.539444
ICMBIO_180,39.1455555,-14.6263889,-39.1455555,-14.6263889
ICMBIO_559,48.1288889,-25.0686111,-48.1288889,-25.0686111
ICMBIO_898,39.7191667,-13.5988889,-39.7191667,-13.5988889
ICMBIO_2121,54.8336111,-9.2588889,-54.8336111,-9.2588889
ICMBIO_6677,47.9052778,-15.5738889,-47.9052778,-15.5738889
ICMBIO_8771,63.34,0.8719445,-63.34,0.8719445
ICMBIO_9196,43.4613889,-22.4791667,-43.4613889,-22.4791667
IDIGBIO_1118,43.680278,-19.116944,-43.680278,-19.116944
IDIGBIO_4420,35.062444,-8.55375,-35.062444,-8.55375
IDIGBIO_4789,43.6833333,-18.366666,-43.6833333,-18.366666
IDIGBIO_6459,35.755556,-9.184722,-35.755556,-9.184722
IDIGBIO_6535,46.8833333333,-18.7166666667,-46.8833333333,-18.7166666667
SPECIESLINK_2803,46.6236111,-10.865833,-46.6236111,-10.865833
SPECIESLINK_3107,47.8786111,-15.670277,-47.8786111,-15.670277
SPECIESLINK_7282,50.1166666,-16.05,-50.1166666,-16.05
ICMBIO_142,49.5,15,-49.5,-15
ICMBIO_5919,43.2105556,22.9558333,-43.2105556,-22.9558333
ICMBIO_7822,47.8825,24.6083333,-47.8825,-24.6083333
ICMBIO_8947,41.9441666,21.8825,-41.9441666,-21.8825
ICMBIO_9296,45.7572222,11.0377777,-45.7572222,-11.0377777
IDIGBIO_9889,47.4205555,6.57944444,-47.4205555,-6.57944444
SIBBR_1571,42.7227778,22.3208334,-42.7227778,-22.3208334
SPECIESLINK_2807,47.593889,14.164722,-47.593889,-14.164722
SPECIESLINK_7586,51.12,19.98,-51.12,-19.98
SPECIESLINK_9214,55.998167,9.886306,-55.998167,-9.886306
ICMBIO_87,-15.3333333,-39.5,-39.5,-15.3333333
ICMBIO_256,-9.3291667,-40.5477777,-40.5477777,-9.3291667
ICMBIO_260,-1.7666667,-47.0666667,-47.0666667,-1.7666667
ICMBIO_750,-20.1036111,-43.4194445,-43.4194445,-20.1036111
ICMBIO_1294,-1.7666667,-47.0666667,-47.0666667,-1.7666667
ICMBIO_1489,-27.1847222,-48.8713889,-48.8713889,-27.1847222
ICMBIO_2036,-1.7666667,-47.0666667,-47.0666667,-1.7666667
ICMBIO_2398,-24.6333333,-47.7666667,-47.7666667,-24.6333333
ICMBIO_2472,-9.9166667,-40.25,-40.25,-9.9166667
ICMBIO_2517,-19.8,-40.7666667,-40.7666667,-19.8
ICMBIO_2631,-15.1580556,-39.5286111,-39.5286111,-15.1580556
ICMBIO_2755,-14.1166667,-42.6166667,-42.6166667,-14.1166667
ICMBIO_2875,-25.15,-48,-48,-25.15
ICMBIO_3235,-7.5833333,-46.8333333,-46.8333333,-7.5833333
ICMBIO_3351,-24.0752778,-49.0680556,-49.0680556,-24.0752778
ICMBIO_3725,-1.7666667,-47.0666667,-47.0666667,-1.7666667
ICMBIO_3767,-3.1358334,-60.5602777,-60.5602777,-3.1358334
ICMBIO_4342,-14.1166667,-42.6166667,-42.6166667,-14.1166667
ICMBIO_4680,-9.0805556,-38.1322223,-38.1322223,-9.0805556
ICMBIO_5078,-14.1166667,-42.6166667,-42.6166667,-14.1166667
ICMBIO_5199,-1.7666667,-47.0666667,-47.0666667,-1.7666667
ICMBIO_5262,-9.3305556,-40.5486111,-40.5486111,-9.3305556
ICMBIO_5293,-10.45,-41.2666667,-41.2666667,-10.45
ICMBIO_5311,-21.0833333,-44.1666667,-44.1666667,-21.0833333
ICMBIO_5364,-19.0666667,-39.95,-39.95,-19.0666667
ICMBIO_5588,-20.1036111,-43.4194445,-43.4194445,-20.1036111
ICMBIO_6163,-1.7666667,-47.0666667,-47.0666667,-1.7666667
ICMBIO_6324,-20.2916666,-41.0288889,-41.0288889,-20.2916666
ICMBIO_6418,-15.1580556,-39.5286111,-39.5286111,-15.1580556
ICMBIO_6561,-21.0833333,-44.1666667,-44.1666667,-21.0833333
ICMBIO_6713,-9.8416666,-48.2922222,-48.2922222,-9.8416666
ICMBIO_6721,-18.65,-40.1833333,-40.1833333,-18.65
ICMBIO_7104,-2.8333333,-60.1333333,-60.1333333,-2.8333333
ICMBIO_7359,-1.7666667,-47.0666667,-47.0666667,-1.7666667
ICMBIO_7760,-20.1036111,-43.4194445,-43.4194445,-20.1036111
ICMBIO_8006,-28.25,-51.5833333,-51.5833333,-28.25
ICMBIO_8235,-28.3575,-55.0275,-55.0275,-28.3575
ICMBIO_8424,-1.7666667,-47.0666667,-47.0666667,-1.7666667
ICMBIO_8525,-23.2844444,-44.5497222,-44.5497222,-23.2844444
ICMBIO_8588,-1.7666667,-47.0666667,-47.0666667,-1.7666667
ICMBIO_8820,-1.7666667,-47.0666667,-47.0666667,-1.7666667
ICMBIO_8822,-14.7333333,-52.3333333,-52.3333333,-14.7333333
ICMBIO_8985,-1.7666667,-47.0666667,-47.0666667,-1.7666667
ICMBIO_9746,-10.0666667,-52.95,-52.95,-10.0666667
IDIGBIO_3925,-22.82,-46.92,-46.92,-22.82
IDIGBIO_6449,-24.883333,-47.916667,-47.916667,-24.883333
IDIGBIO_6885,-22.98,-43.28,-43.28,-22.98
IDIGBIO_9096,-23.4094444,-45.1225,-45.1225,-23.4094444
IDIGBIO_9482,-23.1666,-45.8321,-45.8321,-23.1666
SPECIESLINK_4608,-23.0129,-47.0892,-47.0892,-23.0129
SPECIESLINK_5435,-22.4691,-44.2882,-44.2882,-22.4691
SPECIESLINK_6056,-14.966667,-39.05,-39.05,-14.966667
SPECIESLINK_6609,-23.2192,-45.9776,-45.9776,-23.2192
SPECIESLINK_6640,-22.6881,-43.3919,-43.3919,-22.6881
SPECIESLINK_7647,-20.398889,-43.898889,-43.898889,-20.398889
SPECIESLINK_8103,-22.3575,-49.0275,-49.0275,-22.3575
ICMBIO_2792,-10.2,59.35,-59.35,-10.2
ICMBIO_1641,-74.1333333,-5.1166667,-74.1333333,5.1166667
ICMBIO_4855,-75.65,-4.2833333,-75.65,4.2833333
ICMBIO_2644,73.1666667,7.8333333,-73.1666667,7.8333333
ICMBIO_1338,-9.5833333,-83.8,-83.8,9.5833333
ICMBIO_9382,-136.35,35.9166667,136.35,35.9166667
ICMBIO_4718,-99.3019444,-18.8011111,-99.3019444,18.8011111
ICMBIO_6367,-90.95,-16.1166667,-90.95,16.1166667
ICMBIO_4311,-81.75,-8.5833333,-81.75,8.5833333
ICMBIO_2342,56.8777778,-4.7583333,-56.8777778,4.7583333
ICMBIO_7946,62,5.1833333,-62,5.1833333
