datelastmodified,institutioncode,collectioncode,catalognumber,scientificname,basisofrecord,kingdom,phylum,class,ordem,family,genus,species,subspecies,scientificnameauthor,identifiedby,yearidentified,monthidentified,dayidentified,typestatus,collectornumber,fieldnumber,collector,yearcollected,monthcollected,daycollected,julianday,timeofday,continentocean,country,stateprovince,county,locality,longitude,latitude,longitude_mun,latitude_mun,coordinateprecision,boundingbox,minimumelevation,maximumelevation,minimumdepth,maximumdepth,sex,preparationtype,individualcount,previouscatalognumber,relationshiptype,relatedcatalogitem,notes,barcode
2020-04-27T19:11:31Z,UFES,VIES,46966,Randia armata,S,Plantae,NA,NA,NA,Rubiaceae,Randia,armata,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Firmino, A.D.; Valadares, R.T.",NA,NA,NA,NA,NA,NA,Brasil,Espírito Santo,NA,"Reserva de Comboios, próximo à reserva indígena. Ponto de amostragem 8.",-39.931944,-19.696944,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-07T12:35:34Z,UEFS,HUEFS,127977,Myrcia decorticans,PreservedSpecimen,Plantae,NA,Rosanae,Myrtales,Myrtaceae,Myrcia,decorticans,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Machado, M.A.B.L.",NA,NA,NA,NA,NA,NA,Brasil,Alagoas,NA,Usina Corurioe - Fazenda Capiatã A - Bloco Goiabeia.,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mata atlânitca - tabuleiro.,NA
2020-09-12T08:00:02Z,US,US,3381603,Senecio subarnicoides,PreservedSpecimen,Plantae,NA,Dicotyledonae,Asterales,Asteraceae,Senecio,subarnicoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J. M. Silva, O. S. Ribas, J. Cordeiro & E. L. Barbosa",NA,NA,NA,NA,NA,NA,Brazil,Santa Catarina,NA,Serra do Quiriri (Mun. Campo Alegre),0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
2020-09-12T08:00:02Z,US,US,2851678,Baccharis polyphylla,PreservedSpecimen,Plantae,NA,Dicotyledonae,Asterales,Asteraceae,Baccharis,polyphylla,NA,NA,NA,NA,NA,NA,NA,NA,NA,"R. M. Harley, S. Mayo, R. M. Storr, T. S. Santos & R. S. Pinheiro",NA,NA,NA,NA,NA,NA,Brazil,Bahia,NA,Brazil: Estado da Bahia. Serra das Almas. Middle and upper N.E. slopes of the Pico das Almas ca. 25km. W.N.W. of the Vila do Rio de Contas,-41.95,-13.55,NA,NA,NA,NA,1600,1850,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
2008-05-28T01:02:00Z,MO,MOBOT,3395923,Undesignated undesignated,PreservedSpecimen,Plantae,NA,NA,NA,Undesignated,Undesignated,undesignated,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thomas,NA,NA,NA,NA,NA,NA,Brazil,Bahia,NA,"""Itambé: 37.5 west of itapetinga on BR 415 to Itambé. Semi-deciduous \""vine\"" forst (Mata de Cipó) with arborescent cacti.""",-40.57472,-15.26472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-25T15:12:11Z,UFSM,SMDB,NA,Ocotea pulchella,S,Plantae,NA,NA,NA,Lauraceae,Ocotea,pulchella,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alvarez, A.F.",NA,NA,NA,NA,NA,NA,Brasil,Rio Grande do Sul,NA,Limeira- São José da Porteirinha,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-06-27T13:25:24Z,UFES,VIES,15479,Ocotea lobbii,S,Plantae,NA,NA,NA,Lauraceae,Ocotea,lobbii,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fabris, L.C.",NA,NA,NA,NA,NA,NA,Brasil,Espírito Santo,NA,Setiba.,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-11T11:49:43Z,ESALQ,ESA,88280,Aristolochia arcuata,S,Plantae,NA,NA,NA,Aristolochiaceae,Aristolochia,arcuata,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lopes, L.M.X.",NA,NA,NA,NA,NA,NA,Brasil,São Paulo,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-09T14:07:49Z,UFBA,ALCB,84295,Sematophyllum galipense,PreservedSpecimen,Plantae,NA,NA,NA,Sematophyllaceae,Sematophyllum,galipense,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bastos, C",NA,NA,NA,NA,NA,NA,Brasil,Bahia,NA,Serra do Barbado. Catolés,-41.903889,-13.279722,NA,NA,NA,NA,1734,1734,NA,NA,NA,NA,NA,NA,NA,NA,Epíxilo; Mata do Cigano,NA
2019-01-25T17:38:46Z,IAC,IAC,20032,Parthenium hysterophorus,S,Plantae,NA,NA,NA,Asteraceae,Parthenium,hysterophorus,NA,NA,NA,NA,NA,NA,NA,NA,NA,H.F. Leitão Filho & C. Aranha,NA,NA,NA,NA,NA,NA,Brasil,São Paulo,NA,NA,-48.1756,-21.7944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Invasora de cafezal,NA
2019-08-20T13:16:25Z,UNICAMP,UEC,21981,Endlicheria paniculata,S,Plantae,NA,NA,NA,Lauraceae,Endlicheria,paniculata,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Heringer, EP; et al.",NA,NA,NA,NA,NA,NA,Brazil,Distrito Federal,NA,BR-251 após a cachoeirinha,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Árvore com mais ou menos 5m de altura; folhas pilosas; flores amarelo claro com cálice e pecíolo vermelho roxo.; Mata ciliar,NA
1970-01-01T03:00:00Z,NY,NYBG,748798,Jacaranda simplicifolia,PreservedSpecimen,Plantae,NA,NA,Lamiales,Bignoniaceae,Jacaranda,simplicifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,W. R. Anderson,NA,NA,NA,NA,NA,NA,Brazil,Goiás,NA,"Chapada dos Veadeiros, ca. 25 km by road N of Alto Paraíso",-47.3578,-13.9584,NA,NA,NA,NA,1700,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970-01-01T03:00:00Z,NY,NYBG,1195853,Chamaesyce,PreservedSpecimen,Plantae,NA,NA,Malpighiales,Euphorbiaceae,Chamaesyce,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J. G. Jardim,NA,NA,NA,NA,NA,NA,Brazil,Bahia,NA,"Rod. para o Distr. de Cana Brava, 18 km S da sede municipal, 1.6 km do povoado de Serra de João Alves.",-43.7533333,-14.4525,NA,NA,NA,NA,500,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-15T18:28:09Z,FEPAGRO,BLA,4144,Eriosema tacuaremboense,PreservedSpecimen,Plantae,NA,NA,NA,Fabaceae,Eriosema,tacuaremboense,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flávio,NA,NA,NA,NA,NA,NA,Brasil,Rio Grande do Sul,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-17T13:45:48Z,UFPE,UFP,448,Schrankia leptocarpa,PreservedSpecimen,Plantae,NA,NA,NA,Fabaceae-Papi.,Schrankia,leptocarpa,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sarmento, A.",NA,NA,NA,NA,NA,NA,Brasil,Pernambuco,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-08T11:52:42Z,FURB,FURB,58044,Salvia consimilis,PreservedSpecimen,Plantae,NA,NA,NA,Lamiaceae,Salvia,consimilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Funez, L.A.; Zermiani, A.E.",NA,NA,NA,NA,NA,NA,Brasil,Santa Catarina,NA,Serra do Rio do Rastro.,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flores amaraladas Habitat: Aparados da Serra Habito: Erva,NA
2019-09-30T14:26:01Z,IF,SPSF,52773,Eucalyptus tereticornis,PreservedSpecimen,Plantae,NA,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,tereticornis,NA,NA,NA,NA,NA,NA,NA,NA,NA,B.Lopes,NA,NA,NA,NA,NA,NA,Brasil,SP,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,COLETA: Árvore nº 757;,NA
2020-06-30T13:55:56Z,UFRGS,ICN,127062,Steinchisma,S,Plantae,NA,NA,NA,Poaceae,Steinchisma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Longhi-Wagner, HM",NA,NA,NA,NA,NA,NA,Brasil,SC,NA,BR 470 2km de acesso a Abdon Batista,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-19T11:15:05Z,FPS,FPS,468,Justicia brasiliana,MachineObservation,Plantae,NA,NA,NA,Acanthaceae,Justicia,brasiliana,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Schwirkowski, P.",NA,NA,NA,NA,NA,NA,Brasil,Santa Catarina,NA,"Rio Natal - Beira de estrada, sentido Corupá",-49.273742,-26.361184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Jacobina-vermelha, junta-de-cobra-vermelha",NA
2019-07-09T15:46:53Z,F,FMNH-SEEDPLANTS,NA,Cranichis scripta,PreservedSpecimen,Plantae,NA,Monocotyledoneae,NA,Orchidaceae,Cranichis,scripta,NA,NA,NA,NA,NA,NA,NA,NA,NA,L. B. Smith,NA,NA,NA,NA,NA,NA,Brazil,Distrito Federal,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
