input	temp_id	scientificName	scientificNameAuthorship	family	taxonRank	taxonomicStatus	names_cleaned
Youngia japonica (L.) DC.	50	Youngia japonica	DC. (L.)	Asteraceae	species	accepted	youngia japonica
Ocotea puberula	34	Ocotea puberula	Nees	Lauraceae	species	accepted	NA
Myrciaria floribunda (H.West ex Willd.) O.Berg	30	Myrciaria floribunda	O.Berg	Myrtaceae	species	accepted	myrciaria floribunda
Annonaceae Guatteria sellowiana Schltdl.	5	Annonaceae	NA	Annonaceae	family	accepted	Annonaceae
Campanulaceae Lobelia organensis Gardner	11	Campanulaceae	NA	Campanulaceae	family	accepted	Campanulaceae
Byrsonima coccolobifolia	10	Byrsonima coccolobifolia	Kunth	Malpighiaceae	species	accepted	NA
Elaphoglossum vagans Infr. hieron.	19	Elaphoglossum vagans	Hieron. (Mett.)	Dryopteridaceae	species	accepted	elaphoglossum vagans
Terminalia	45	Terminalia	L.	Combretaceae	genus	accepted	NA
Cordia trichotoma	16	Cordia trichotoma	Steud. (Vell.)	Ehretiaceae	species	accepted	NA
Matayba guianensis Aubl.	27	Matayba guianensis	Aubl.	Sapindaceae	species	accepted	matayba guianensis
Solanum mauritianum Scop.	41	Solanum mauritianum	Scop.	Solanaceae	species	accepted	solanum mauritianum
Cheiloclinium cognatum	15	Cheiloclinium cognatum	A.C.Sm. (Miers)	Celastraceae	species	accepted	NA
Burmannia bicolor	8	Burmannia bicolor	Mart.	Burmanniaceae	species	accepted	NA
Annona cacans Warm.	4	Annona cacans	Warm.	Annonaceae	species	accepted	annona cacans
Mollinedia schottiana (Spreng.) Perkins	29	Mollinedia schottiana	Perkins	Monimiaceae	species	accepted	mollinedia schottiana
Hyptis sp.	23	Hyptis	Jacq.	Lamiaceae	genus	accepted	hyptis
Pourouma guianensis Aubl.	38	Pourouma guianensis	Aubl.	Urticaceae	species	accepted	pourouma guianensis
Heteropterys campestris	22	Heteropterys campestris	A.Juss.	Malpighiaceae	species	accepted	NA
Vriesea jonghei	49	Vriesea jonghei	E.Morr.	Bromeliaceae	species	accepted	NA
Jacquemontia tamnifolia (L.) Griseb.	25	Jacquemontia tamnifolia	Griseb. (L.)	Convolvulaceae	species	accepted	jacquemontia tamnifolia
Nectandra grandiflora	31	Nectandra grandiflora	Nees & Mart. ex Nees	Lauraceae	species	accepted	NA
Aegiphila integrifolia (Jacq.) B.D.Jackson	3	Aegiphila integrifolia	B.D.Jacks. (Jacq.)	Lamiaceae	species	accepted	aegiphila integrifolia
Tripogandra diuretica (Mart.) Handlos	46	Tripogandra diuretica	Handlos (Mart.)	Commelinaceae	species	accepted	tripogandra diuretica
Baccharis usterii	7	Baccharis usterii	Heering	Asteraceae	species	accepted	NA
Cyathea glaziovii	17	Cyathea glaziovii	Domin	Cyatheaceae	species	accepted	NA
Vassobia breviflora (Sendtn.) Hunz.	47	Vassobia breviflora	Hunz. (Sendtn.)	Solanaceae	species	accepted	vassobia breviflora
Galipea jasminiflora (A.St.-Hil.) Engl.	21	Galipea jasminiflora	Engl.	Rutaceae	species	accepted	galipea jasminiflora
Vernonia	48	Vernonia	Schreb.	Asteraceae	genus	accepted	NA
Sphagnum exquisitum	42	Sphagnum exquisitum	H.Crum, 1992	Sphagnaceae	species	accepted	NA
Psidium myrtoides	39	Psidium myrtoides	O.Berg	Myrtaceae	species	accepted	NA
Aechmea muricata	2	Aechmea muricata	L.B.Sm. (Arruda)	Bromeliaceae	species	accepted	NA
Casearia decandra Jacq.	14	Casearia decandra	Jacq.	Salicaceae	species	accepted	casearia decandra
Desmodium cajanifolium (Kunth) DC.	18	Desmodium cajanifolium	DC. (Kunth)	Fabaceae	species	accepted	desmodium cajanifolium
Psidium sartorianum	40	Psidium sartorianum	Nied.	Myrtaceae	species	accepted	NA
Kielmeyera grandiflora	26	Kielmeyera grandiflora	Saddi (Wawra)	Calophyllaceae	species	accepted	NA
Aechmea caudata	1	Aechmea caudata	Lindm.	Bromeliaceae	species	accepted	NA
Syrrhopodon incompletus	43	Syrrhopodon incompletus	Schwaegrichen, 1824	Calymperaceae	species	accepted	NA
Campylocentrum pauloense	12	Campylocentrum pauloense	Hoehne & Schltr.	Orchidaceae	species	accepted	NA
Ocotea longifolia	33	Ocotea longifolia	Kunth	Lauraceae	species	accepted	NA
Eriocaulaceae Leiothrix vivipara (Bong.) Ruhland	20	Eriocaulaceae	NA	Eriocaulaceae	family	accepted	Eriocaulaceae
Ocotea indecora	32	Ocotea indecora	Mez (Schott)	Lauraceae	species	accepted	NA
Metzgeria myriopoda	28	Metzgeria myriopoda	Lindb.	Metzgeriaceae	species	accepted	NA
Bursera simaruba	9	Bursera simaruba	Sarg.	Burseraceae	species	accepted	NA
Jacaranda racemosa Cham.	24	Jacaranda racemosa	Cham.	Bignoniaceae	species	accepted	jacaranda racemosa
Cantinoa mutabilis	13	Cantinoa mutabilis	Harley & J.F.B.Pastore (Rich.)	Lamiaceae	species	accepted	NA
Aspidosperma cuspa (Kunth) S.F.Blake ex Pittier	6	Aspidosperma cuspa	S.F.Blake ex Pittier	Apocynaceae	species	accepted	aspidosperma cuspa
